time,ax,ay,az,atotal
2021-09-03 18:56:08.9230,-0.83,-0.01,-1.08,1.36
2021-09-03 18:56:08.9330,-0.53,0.02,-1.39,1.48
2021-09-03 18:56:08.9430,-0.48,0.04,-1.35,1.43
2021-09-03 18:56:08.9530,-0.63,0.06,-1.29,1.43
2021-09-03 18:56:08.9630,-0.54,0.0,-1.24,1.35
2021-09-03 18:56:08.9740,-0.19,-0.1,-1.11,1.13
2021-09-03 18:56:08.9970,0.04,-0.13,-0.8,0.81
2021-09-03 18:56:08.9980,-0.1,-0.1,-0.56,0.57
2021-09-03 18:56:09.0020,-0.37,-0.06,-0.55,0.66
2021-09-03 18:56:09.0130,-0.41,0.19,-0.53,0.69
2021-09-03 18:56:09.0230,-0.31,0.27,-0.25,0.48
2021-09-03 18:56:09.0330,-0.18,0.19,-0.07,0.27
2021-09-03 18:56:09.0430,-0.06,0.07,0.08,0.12
2021-09-03 18:56:09.0520,-0.17,-0.04,0.17,0.24
2021-09-03 18:56:09.0630,-0.17,-0.04,0.26,0.31
2021-09-03 18:56:09.0730,-0.15,0.07,0.35,0.38
2021-09-03 18:56:09.0950,-0.07,0.03,0.41,0.41
2021-09-03 18:56:09.0970,-0.08,-0.08,0.6,0.61
2021-09-03 18:56:09.1020,-0.09,-0.11,0.83,0.84
2021-09-03 18:56:09.1130,0.07,0.02,0.95,0.95
2021-09-03 18:56:09.1220,0.43,0.13,0.95,1.05
2021-09-03 18:56:09.1320,0.66,0.07,0.98,1.18
2021-09-03 18:56:09.1430,0.73,0.06,0.97,1.21
2021-09-03 18:56:09.1520,0.83,0.14,1.02,1.32
2021-09-03 18:56:09.1630,0.65,0.0,1.16,1.32
2021-09-03 18:56:09.1730,0.47,-0.18,1.45,1.53
2021-09-03 18:56:09.1970,0.51,-0.28,2.01,2.09
2021-09-03 18:56:09.1990,0.58,-0.49,2.72,2.82
2021-09-03 18:56:09.2020,0.56,-0.44,3.0,3.08
2021-09-03 18:56:09.2130,0.61,-0.13,3.0,3.06
2021-09-03 18:56:09.2220,0.68,-0.18,2.98,3.06
2021-09-03 18:56:09.2320,0.57,-0.61,3.03,3.14
2021-09-03 18:56:09.2430,1.01,-0.75,3.02,3.27
2021-09-03 18:56:09.2520,1.73,-0.77,2.85,3.42
2021-09-03 18:56:09.2630,2.16,-1.01,2.25,3.27
2021-09-03 18:56:09.2720,2.2,-1.27,1.51,2.95
2021-09-03 18:56:09.2950,1.91,-1.39,1.08,2.59
2021-09-03 18:56:09.2970,1.62,-2.22,1.46,3.11
2021-09-03 18:56:09.3020,1.79,-3.46,2.25,4.49
2021-09-03 18:56:09.3120,2.72,-3.51,2.27,4.98
2021-09-03 18:56:09.3220,3.05,-2.67,1.71,4.39
2021-09-03 18:56:09.3320,2.36,-2.71,1.06,3.74
2021-09-03 18:56:09.3420,2.32,-3.26,0.46,4.02
2021-09-03 18:56:09.3520,2.88,-3.36,-0.13,4.42
2021-09-03 18:56:09.3630,3.37,-3.64,-0.26,4.96
2021-09-03 18:56:09.3730,3.88,-3.57,-0.03,5.27
2021-09-03 18:56:09.3960,3.15,-2.75,0.36,4.19
2021-09-03 18:56:09.3980,1.53,-3.13,0.3,3.49
2021-09-03 18:56:09.4010,0.89,-4.11,0.38,4.22
2021-09-03 18:56:09.4110,1.06,-3.81,0.85,4.04
2021-09-03 18:56:09.4220,1.75,-2.84,1.57,3.68
2021-09-03 18:56:09.4320,1.54,-1.94,2.16,3.28
2021-09-03 18:56:09.4420,0.44,-1.39,2.12,2.57
2021-09-03 18:56:09.4520,-1.0,-0.89,1.51,2.01
2021-09-03 18:56:09.4620,-1.87,-0.58,0.57,2.03
2021-09-03 18:56:09.4720,-1.84,-0.62,0.02,1.94
2021-09-03 18:56:09.4950,-1.07,-0.72,0.06,1.29
2021-09-03 18:56:09.4970,0.82,-0.59,0.67,1.21
2021-09-03 18:56:09.5010,1.59,0.24,1.93,2.51
2021-09-03 18:56:09.5110,1.49,-0.27,3.61,3.91
2021-09-03 18:56:09.5220,1.44,0.22,3.35,3.65
2021-09-03 18:56:09.5310,1.43,0.8,3.36,3.73
2021-09-03 18:56:09.5420,1.5,0.57,2.94,3.34
2021-09-03 18:56:09.5510,1.99,0.17,2.4,3.12
2021-09-03 18:56:09.5620,2.63,0.35,2.04,3.34
2021-09-03 18:56:09.5710,3.23,0.87,1.86,3.82
2021-09-03 18:56:09.5950,3.42,1.21,1.75,4.02
2021-09-03 18:56:09.5970,3.07,1.26,1.62,3.69
2021-09-03 18:56:09.6010,2.42,1.2,1.39,3.03
2021-09-03 18:56:09.6110,1.85,1.13,1.16,2.45
2021-09-03 18:56:09.6210,1.4,1.04,1.04,2.03
2021-09-03 18:56:09.6310,0.94,0.85,0.86,1.53
2021-09-03 18:56:09.6410,0.68,0.72,0.41,1.07
2021-09-03 18:56:09.6510,0.83,0.6,-0.12,1.03
2021-09-03 18:56:09.6620,1.08,0.39,-0.54,1.26
2021-09-03 18:56:09.6710,1.04,0.14,-0.9,1.38
2021-09-03 18:56:09.6940,0.63,-0.08,-1.16,1.32
2021-09-03 18:56:09.6950,-0.04,-0.19,-1.36,1.37
2021-09-03 18:56:09.7000,-0.67,-0.4,-1.61,1.78
2021-09-03 18:56:09.7100,-1.04,-0.61,-1.91,2.25
2021-09-03 18:56:09.7210,-1.21,-0.73,-2.32,2.71
2021-09-03 18:56:09.7310,-1.21,-0.9,-2.87,3.24
2021-09-03 18:56:09.7410,-0.91,-0.9,-3.51,3.73
2021-09-03 18:56:09.7510,-0.54,-0.53,-3.96,4.03
2021-09-03 18:56:09.7610,-0.89,0.27,-4.19,4.29
