time,ax,ay,az,atotal
2021-09-03 18:45:43.9480,-0.35,0.08,-0.44,0.56
2021-09-03 18:45:43.9580,-0.09,0.07,-0.33,0.34
2021-09-03 18:45:43.9680,0.02,0.04,-0.24,0.24
2021-09-03 18:45:43.9780,-0.03,-0.03,-0.23,0.23
2021-09-03 18:45:43.9880,0.02,-0.02,-0.16,0.16
2021-09-03 18:45:43.9980,0.18,0.07,-0.09,0.21
2021-09-03 18:45:44.0170,0.16,0.03,-0.05,0.17
2021-09-03 18:45:44.0200,0.11,0.06,-0.04,0.13
2021-09-03 18:45:44.0280,0.16,0.13,-0.06,0.21
2021-09-03 18:45:44.0380,0.21,0.06,-0.06,0.22
2021-09-03 18:45:44.0480,0.09,-0.06,-0.03,0.11
2021-09-03 18:45:44.0580,-0.01,-0.06,0.05,0.07
2021-09-03 18:45:44.0680,0.05,-0.03,0.13,0.14
2021-09-03 18:45:44.0780,0.09,-0.04,0.18,0.2
2021-09-03 18:45:44.0880,0.05,-0.01,0.27,0.27
2021-09-03 18:45:44.0980,-0.02,0.0,0.28,0.28
2021-09-03 18:45:44.1140,-0.05,0.03,0.22,0.22
2021-09-03 18:45:44.1180,-0.01,0.06,0.13,0.14
2021-09-03 18:45:44.1280,0.06,0.07,0.05,0.1
2021-09-03 18:45:44.1380,0.1,-0.01,0.0,0.1
2021-09-03 18:45:44.1480,0.11,-0.03,-0.01,0.11
2021-09-03 18:45:44.1580,0.14,0.03,-0.07,0.15
2021-09-03 18:45:44.1680,0.1,-0.03,-0.16,0.19
2021-09-03 18:45:44.1770,-0.11,-0.03,-0.19,0.22
2021-09-03 18:45:44.1880,-0.18,0.07,-0.2,0.27
2021-09-03 18:45:44.1980,-0.14,0.04,-0.23,0.27
2021-09-03 18:45:44.2150,-0.1,0.05,-0.22,0.24
2021-09-03 18:45:44.2190,-0.09,0.08,-0.19,0.22
2021-09-03 18:45:44.2270,-0.1,0.07,-0.14,0.18
2021-09-03 18:45:44.2380,-0.07,0.05,-0.1,0.13
2021-09-03 18:45:44.2480,-0.03,0.04,-0.06,0.07
2021-09-03 18:45:44.2570,0.02,0.1,0.0,0.1
2021-09-03 18:45:44.2680,0.06,0.13,0.0,0.14
2021-09-03 18:45:44.2780,0.01,0.06,-0.05,0.07
2021-09-03 18:45:44.2880,-0.09,0.03,-0.05,0.1
2021-09-03 18:45:44.2980,-0.05,-0.04,-0.04,0.07
2021-09-03 18:45:44.3160,0.06,-0.01,0.02,0.06
2021-09-03 18:45:44.3190,0.14,0.12,-0.04,0.18
2021-09-03 18:45:44.3270,0.19,0.14,-0.11,0.26
2021-09-03 18:45:44.3370,-0.04,0.04,-0.09,0.1
2021-09-03 18:45:44.3470,-0.06,-0.06,-0.13,0.15
2021-09-03 18:45:44.3570,0.24,0.03,-0.11,0.26
2021-09-03 18:45:44.3670,0.17,0.08,-0.12,0.22
2021-09-03 18:45:44.3770,-0.15,0.03,-0.09,0.17
2021-09-03 18:45:44.3870,-0.28,0.18,0.07,0.34
2021-09-03 18:45:44.3970,-0.43,0.11,0.19,0.48
2021-09-03 18:45:44.4140,-0.31,0.03,0.2,0.37
2021-09-03 18:45:44.4170,0.03,0.14,0.13,0.19
2021-09-03 18:45:44.4270,0.07,0.13,0.03,0.15
2021-09-03 18:45:44.4370,0.03,-0.04,-0.1,0.11
2021-09-03 18:45:44.4470,0.0,-0.16,-0.06,0.17
2021-09-03 18:45:44.4570,-0.18,-0.13,0.05,0.22
2021-09-03 18:45:44.4670,-0.27,0.04,0.17,0.32
2021-09-03 18:45:44.4770,-0.14,0.16,0.29,0.35
2021-09-03 18:45:44.4870,0.05,0.08,0.28,0.29
2021-09-03 18:45:44.4970,0.05,-0.07,0.21,0.22
2021-09-03 18:45:44.5160,-0.24,-0.22,0.2,0.38
2021-09-03 18:45:44.5190,-0.3,-0.24,0.21,0.43
2021-09-03 18:45:44.5270,0.04,-0.08,0.2,0.21
2021-09-03 18:45:44.5370,0.08,-0.1,0.1,0.16
2021-09-03 18:45:44.5470,-0.14,-0.08,-0.21,0.26
2021-09-03 18:45:44.5570,-0.31,0.03,-0.28,0.41
2021-09-03 18:45:44.5670,-0.37,-0.1,-0.14,0.4
2021-09-03 18:45:44.5770,-0.2,-0.17,-0.03,0.26
